"rank","time","help","text"
"推荐","2018-12-05","13","憋了五年，终在大荧幕相见。看完更觉得自己每天进行的是荼毒少年的教育实验，磨平棱角，再去机械化本充满灵魂的个体。那些老生常谈繁枝缛节，都是大人们口中的“为你好”。学会忍受圆滑事故，是迈向成人世界的必经路。罗攀摄影太棒，尤其是落叶归途画面，白水音乐用得有点满。不虚不假，对青春进行了最好的写照和反省。这场吃狗肉的成人礼，每天都在上演。"
"较差","2018-11-01","15","全场演技和镜头运动 my eye 剧本不错 中国式家庭吵架、教室罚站和酒桌饭局分分钟看到崩溃 但整体方向还是学生作品"
"较差","2018-08-23","22","（照顾过叛逆期的孩子后，看这片会有完全不同的感受。）刻奇的故事设计，过满的配乐，都是我不喜欢的点。"
"较差","2018-05-28","23","爸爸没哭之前我想给一星的，东一榔头西一棒，看出来曹最近是进步了不少"
"推荐","2018-01-26","19","典型中国式教育；李玩结尾与狗重逢，选择不与相认、独自在巷尾哭泣，宣告着成长，融入社会，与我们同流合污"
"还行","2018-12-07","10","两个小女孩的故事，可以和李霄峰的《少女哪吒》一起放映对比。风格上接近电视剧，甚至有点假，比如在咖啡馆放迪曲，忘我蹦迪，旁边人还假装淡定；手法不够凝练，太直白，后半段略好，为了突出生活化，搞得人物塑造太暧昧，共情力就不足了，总之就是青春痘小女孩成长不容易，善良的爷爷奶奶不容易，用心良苦爸爸和后妈不容易，被抢走男友的表姐也不容易，被狗咬的小弟弟不容易，宠物狗也不容易，最后就没有真正的“恶”和“恶人”了，只能怪大家的生活都不容易！？仔细想来，这种略带“作”的青春期叛逆，虽然有一点自我觉醒与内心坚持，但可能算无因的反叛，所以也只能无疾而终，和解大团圆。"
"推荐","2014-04-28","15","【北京大学生电影节资料馆展映】是豆蔻年华女孩的残酷青春成长片，也是一部家庭伦理剧。直接地展现孩子面对家庭成年人强权压迫之下的斗争与妥协。张力十足。缺点在于过于用音乐等元素煽动电影情绪。用力过猛，显得刻意，失去了导演一贯的冷酷风格。这一点导演自己也承认。三星半"
"力荐","2018-12-06","11","这部电影带给我内心的震憾均来自于真实，这种真实感，有的来自青春成长，有的来自家庭教育，也有的来自成人世界，这在国产青春片非常少见，国产电影中也不多见，所以，我愿意五星推荐。"
"推荐","2018-12-05","12","基本上是部恐怖片，一切来源于现实，这也就是其最恐怖的地方了。当教育变成了独裁，家庭变成了集中营，所有的亲情变成了打着爱你旗号的刀子，你的叛逆就是对于世界唯一却无声的控诉，而你的成长则是一场大型的凌迟处死，如果有一天，你发现自己成为了虚伪的大人，请憎恨这个世界。"
"较差","2018-02-04","13","一流电视剧导演"
"力荐","2018-05-23","23","秉承中庸平和之道，中国人总是不想办法解决问题，总想着和稀泥或是逃避，从根本上都以自我利益为中心。在受害者面前，唱黑脸唱白脸的人同样有罪。我们一下生都是有自我主见的，可总是被这个狗逼的社会强拉硬拽着做位合格的中国人（不是贬义）。本以为是个青春矫情电影，曹保平牛逼。"
"推荐","2018-11-26","10","C＋/ 一开始很难进入这个角色极端drama的故事，各种配乐煽情也明显时机不成熟。但是随情节推进，核心意象走向模糊，影片开始具备一种臆想色彩与现实的张力，撕裂的戏剧化表达反而捕捉到了中国家长制教育以及与之同构的官僚体系中遍布矛盾而又不断试图自我说服自我安慰的灰色部分。更深入的地方则在于通过少年与成年两个世界展现出了规训方式从粗放野蛮到温文尔雅异化于无形的过程。做到了这一点之后，很多非常直白的信息就实在是填得煞风景，表达欲进退失据，逾越了导演和编剧的掌控力。"
"很差","2018-12-11","22","一群矫情怪，还自以为是，小题大做"
"力荐","2018-12-09","16","好，真好！《再回首》一响起，顿时泪目了。青春期的事情，跟家人的，跟姐妹的，跟同学的，看起来都是小小的倒刺，一撕一条血痕。每一个演员都在状态里。"
"推荐","2018-11-26","19","最精彩的一场戏是爸爸打女儿。"
"力荐","2013-10-15","15","今年第二部华语五星。这么多年，终于出现了一部记录当下中国残酷青春的电影，还是那种连一点叛逆都找不到的残酷青春。是对所有人都满怀敌意，却还要讨好所有人的残酷青春。要微笑要道歉要把所有投来的鸡蛋当鲜花，这是我们一代人的成长轨迹。"
"较差","2018-12-05","21","中国孩子的青春片？额我不是中国孩子么，又一次被一句电影宣传口号代表了…昨晚看的点映，中途几次想走，结束时一脸尴尬，自身没有一点经历去带入剧情就算了，本来看电影就不一定都有经历去带入，可是演员的表演也完全没办法令我产生同情，这就很尴尬了…女主的普通话还能再诗朗诵腔一点，真的特别好呵呵。我身边父母离异的朋友也有，像她这么作的真不多…父母离婚就是原罪吗？就能让她觉得全世界就她最委屈？究竟是别人丝毫不考虑她的感受，还是她自我封闭自私自利自怨自艾？一直对她挺好养育她的奶奶因为去找夜不归宿的她走丢了，她爸生气地吼她去一起找，那一瞬间她不是着急奶奶会不会因为自己出事，反而一脸受他爸欺凌的表情？绿了一直挺关心她的姐姐那里，也很有意思啊，到底谁欠你啥了？对不起啊，我觉得不好看，所以狗十三，在我这，很狗13了…"
"力荐","2018-01-27","15","这狗13的成人社会！曹保平通过爱因斯坦与爱因斯坦准确地将孩子成长过程中遇到的“伪善”提炼了出来。这就是狗的现状，也是大部分青少年的现状，其实孩子什么都懂，有的时候简单点直给比弯弯绕好多了。张雪迎太好了，以后年轻一代里就粉她了。期待这部影片早日上映，曹保平加油。"
"推荐","2018-12-07","13","更像一部解析中国这个巨婴社会如何诞生的“社会恐怖片”。个体与家庭，家庭与社会，都还处于“自闭”，“共生”的婴儿阶段，大多数在争取“分离和个体化”的阶段败下阵来，停留在爱的名义下互相依赖又彼此剥削，一生都纠缠在相爱相杀的客体关系里。 人与人的感情，首先要有独立的个体，才有交相辉映的爱。而我们，我们的父辈，都没有在情感教育里获得这些，他们被教育成一颗螺丝钉、炒成了一大盘菜，首先消化别人，再来消化自己。一代又一代的原生家庭枷锁套在新的生命个体里，一代又一代，看似过着不一样的生活，潜移默化的情感模式竟然惊人地一致。 全片都笼罩在这种压抑的教化关系里，几乎没有人可以逃脱，除了那个被120“解救”出去的精神病人，一个已经把自己幻想成一只鸟的“边缘人”。听听片中父亲唱的歌吧，是时候反思了"
"推荐","2018-12-07","14","每一只爱因斯坦都是来自平行宇宙的隐喻，它们长相一样，有着相似却不尽相同的命运。而每个看完后感叹“太真实”的观众也都是不同平行宇宙中的李玩。孩子追求绝对真实，大人追求绝对务实，但这并不是个必然的转变。至少别人都在歌颂“真是好”的时候，她依然能结结巴巴说出自己所相信的宇宙真相。"
"推荐","2018-11-27","7","每一个独特的菱角都会被这个社会无情的磨平，最后只能把自己打扮成傻X，好好迎合这个虚伪的成人世界。这是一个女孩悲凉绝望的成人礼，恐怕也是多数人的。8.3"
"力荐","2018-11-25","11","谁都是这么过来的，深知中学生在家长学校的夹缝中如果缺失精神寄托会变态成什么样，但好像也没有这么变态啊。电影将一些“小事”通过浸入式的视听语言无限放大，最终营造出高压锅一样的家庭环境，恍惚有达伦·阿伦诺夫斯基的感觉。技术方面顺延导演上一部《李米的猜想》，比如对白、音效、音乐三者构成的声场帮助搭建活动空间，角色起争执一定会越轴，大量跳剪表示人物的焦灼等等。本片这些技术全面升级，影片可以称得上是一场飒爽无比的关于剪辑和打光的表演。最难得的是，在镜头语言、剧本全都齐备、高超的基础上，导演仍然放手让演员的表演去带动人物情感进展，使所有人物全都活起来。剧本对“外部特征相仿的情况下，个体是否可被替换”的探讨完全融入剧情，看似表现琐碎生活，其实颇哲学。精力之充沛，思考之深入，对生活理解之确切，均超过同期电影"
"力荐","2018-11-07","18","这不是青春的叛逆，是青春的不可逆。 狗十三名字取得已经很文明了，13像字母B，用粗话来回应大人的世界。 另外只有我一人觉得那男孩像孙艺洲（吕子乔）吗？！"
"还行","2018-11-30","10","新概念作文影像化？在曹保平的青春体系里，成人=假笑司令，小孩=叛逆早熟，想象力夭折的诗人，这种特性被提纯放大后，便拼贴成了影片有些矛盾的气质。它看似野心磅礴，意图将笔锋转入社会的幽深处，却又走不出自我说服的小天地，以致对本土成长命题的表达，最后还要靠那些明晃晃的隐喻来实现。爱因斯坦不是一条狗，也不是冷眼旁观的女孩，它是每一颗漂流在阒静宇宙中，不被倾听和理解的孤独星体。"
"力荐","2016-06-18","13","曹保平眼中的90后残酷青春，盛满二三线小镇少年最隐秘的成长记忆。剧本很生活，不像少女哪吒那么作。导演功力真深厚啊，一直以为他只能做类型片。张雪迎长得有点像徐娇，把小姑娘的心理起伏表现得恰到好处。非典型家庭，叛逆的少女，中国式教育。生活终会磨去我们的棱角，我们所能做的只有不要忘掉。"
"推荐","2018-12-07","9","1. 一个关于每一个普通人都无法幸免的社会规训的故事，冲不破网罗，便只能内化它，成为它的一部分。而虚无感也时而隐隐地透现出来。 2. 这亦是一出能引发我们深思如何教育孩子的戏剧，但我们不仅寻不见一个唯一的标准答案，而且常常处于动辄得咎的困境之中。 3. 一部各个技术环节都比较出色的电影。导演的镜头语言总能相得益彰地将人物的内心状况与处境外化，张雪迎的表演也很有说服力。 4. 唯一美中不足的是部分段落稍显夸张，与全片的写实主义风格有些割裂。（尽管符号与隐喻不少，但影片还是与象征主义保持了距离） 5. 最爱小孩子学溜冰的隐喻性场景及教室内忽然闯入蝙蝠的混乱时刻，而贯穿全片的李玩对天文与平行宇宙的兴趣也很有想法（[时间简史]pk“逝者如斯夫”，意味深长）。 （8.5/10）"
"推荐","2018-12-12","11","每一场叛逆背后都是委屈，没有哭不代表伤口不痛，养不教自生自灭更好：献给曾经孤僻的、忧郁的、不合群的我们。成长就是被驯服的过程..."
"力荐","2018-12-09","16","李玩的房间里贴的那张海报，也是我十三岁李玩的房间里贴的那张海报，也是我十三岁那年反复听过的专辑，当时也疯狂地热爱物理，家里的狗也被大人一怒之下送到了狗肉铺里…当这些情节一一被放映，即使现在已经变成了那种hypocritical的成年人，还是会在电影院里哭成傻逼。感谢这部电影，说出了很多在孤独青春里没有人听懂的话语。"
"推荐","2018-11-25","10","13岁的爱因斯坦，开始阅读后来影响他很深但他却一直批判着的康德。13岁的李玩，读着在爱因斯坦诞生日去世的霍金的《时间简史》。霍金说：“康德以后…哲学家几乎再无人问鼎科学。哲学与科学就此分道扬镳。”希望长大后的李玩，继续读着爱因斯坦读着霍金偶尔也读读康德，不再与自我分道扬镳。一直抬头仰望星空。"
"推荐","2018-06-24","6","中国式家庭教育，是把所有的棱角磨平。海报才是正确的标题，建议豆瓣改过来。"
"推荐","2018-12-02","12","一开始纳闷这片哪来这么高的口碑，多看一会就完全理解了。片子充满了奥威尔式的隐喻，不能过于具象的去解读。看似平常不动声色，实则暗流涌动。当每个人变成了别人想要的样子，却失去了自我失去了初心，这是成长成熟所必须付出的代价，这才是真正的残酷青春吧。@解放碑百丽宫"
"力荐","2018-11-30","14","别做个乖小孩， 也别选择堕落， 别轻易谈恋爱， 按照自己内心想要成为的方向去成长， 这是我对所有女孩子唯一的祝愿。"
"还行","2018-12-11","10","最能共情的是三场酒桌戏，是其他成长题材里从没有被认真对待的情节。别的情节还是工整了，深入度一般。很多议题这几年在网络上已经自我剖析很多次了，这次上映，围绕这部电影的网友评论依然远远比电影本身刺痛。"
"推荐","2018-11-07","10","青春版“卡拉是条狗”，通过一个动物，透出成长的烦恼，中国式家庭，以及我们成长中学不到的那些事。很典型也很揪心，因为大部分的我们，就是这样长大。两场酒席戏实在太精彩了，孩子分明是大人眼中的宠物，道貌岸然中的沉默，无法爆发。结尾开放性，摔倒的弟弟能否爬起来，代表着下一代的故事，其实可以更尖锐些，没办法，电影的求生欲，能上映就不错了！"
"推荐","2018-07-26","12","本片讲中国式教育，包括学校教育和家庭教育。 教育的本质，是教一个人成人。而中国教育，是教一个人听话。 不止如此，它还要逼你承认，这样的教育，就是好，就是好，就是好！因为无论大人做了什么，都是为你好。 更残忍的，这场教育的成人礼，是把那个死去的你端上来，当做祭品。"
"很差","2018-12-04","21","1 故事是好故事，拍成影像整个就十分做作。2 女主选角合适，一看就是神经质性格。3 配乐的处理非常非常失败，过度放大，并不能外化内心活动，只会让观众觉得吵到头疼；连带着配角们也个个得了狂躁症一样。4 多处细节编排得相当业余（失真）。比如开空调不先关门关窗；心里难受就敢跟堂姐的男人大半夜出去喝酒；男生当着女友的面误喝了女友堂妹的矿泉水，第一反应不是「对不起」而是「我不在意」；二婚生的儿子有必要等到三四岁（目测）才告诉女儿？5 爸爸和女儿的互动哪里像正常父女，一言一行都像是老男人和包养的年轻情妇。6 A drama queen tale."
"力荐","2018-12-08","7","真实得触目惊心又无可奈何，过来人都深有同感吧。得到好成绩的欣喜若狂，是为了得到长辈的夸赞和认同，青春叛逆的一次次反抗被一次次美其名曰“为你好”并伴随威逼恐吓甚至暴力压制，最后因为“懂事”地在酒桌上给父亲长脸获得“长大了”的认同，这不是在收音机里姜育恒《再回首》情境下流露的一句“你爸不是个好爸”就草草完事的，其中有多少的妥协、退让、隐藏，当率真的棱角被磨平，成为了自己讨厌的样子，适应了伪善，此为长大的一部分。"
"推荐","2018-12-07","9","成绩不错，看点不一样的书，觉得上学很无聊，恋爱很无聊，大人的事也很无聊。有点坚持的东西，他们觉得你很无聊。嗯你是不是也这样？"
"推荐","2018-12-02","7","12/2@天山 是十三年前我想讲的故事"
"力荐","2018-11-27","6","唤醒密集童年阴影，她并非不能理解成人社会，是不愿接受。过程太疼痛，又太使自己庸俗。一直希望李玩的角色更激烈顽固，可即使两条狗都可以叫爱因斯坦，它们仍属于中国这个饭桌。就该吞咽所有不合时宜的话，放弃那些大人不理解的行为。“怕爱因斯坦认出我扑过来”，结尾眼睛酸到睁不开。（锵锵声音一出，感慨万千"
"力荐","2018-11-30","8","封建家长+重男轻女+人情世故=狗13社会。我觉得《狗13》不止是青春片，把狗换成男朋友，这就是一出典型的封建包办婚姻悲剧。话说这片儿五年后能放出来，可能跟国家放开二胎有关系......"
"力荐","2018-12-05","10","妹子有点像我暗恋过的一个同学，因此看的过程里充满了保护欲。全家人给女主一起洗脑的样子太神来之笔了，父权的残忍、冷酷、懦弱、狡猾被刻画的淋漓尽致……而更精彩的则是学生用英语发表“自由中国”的演讲，在进入国家层面之前，巨婴在长大成人之前已经被父权微观调教过了无数次了！"
"推荐","2018-12-07","6","这就是大多数人的青春期吧，没有狗血的青春残酷物语，只有在苦涩、尴尬、无奈、妥协、隐忍中懵懂成长的记忆，承受着家长以“这是为了你好”为名的伤害，谁都可以来教你如何做一个好孩子，却没有人教他们如何做一个好长辈。尽管时过境迁之后早已可以淡然处之，但当面对这样唤起遥远共鸣的电影，还是会感到心底丝丝缕缕的痛楚，为了那些被遗忘的时光，被压抑的岁月，以及被扼杀的爱情……"
"力荐","2018-12-07","12","这片子我妈之前看了。今天我看完给她打了个电话：妈妈我是不是还挺懂事的？我妈沉默了好久然后说，你要理解父母的局限性。我说，我知道的呀，所以你看我没有不理解你们。但你们不能躲在这个“局限性”里不出来哦。我妈又不说话好长时间，过了一会儿才说“对呀”。"
"还行","2018-12-08","8","父母皆祸害小组控诉贴合辑"
"还行","2018-12-01","11","我来泼个冷水吧，也许是期待很高，前边看的过程中一直很失望，直到最后20分钟挽救了全片。整个前半部分虽然能看得出来导演努力表达什么，但是囿于剧本中的种种逻辑缺陷，呈现在银幕上就显得粗砺和生硬，始终看得我十分抽离和别扭。最明显的例子就是大半夜小女孩非要在小区里挨家挨户吆喝着找狗，一下子就让这个本该是让所有人都有“诶这就是我/我小时候就这样”的代入感的角色瞬间弱化成为可以被指摘的对象，整个电影的力度也因为类似的情节而弱化了。经过漫长的铺垫之后，最后的结局处理可以说是极度残酷的，也是我喜欢的，我相信也是几乎所有中国人都可以有共情的。也让我们反思，这种几乎所有人都经历过的成长——或者说“懂事”——代价到底是什么。"
"推荐","2016-06-18","14","2016.6.18 中国电影资料馆。“一想到成为父母居然不需要经过考试，就觉得实在是太可怕了”。"
"推荐","2018-12-14","6","把社会现实浓缩于重男轻女的父权制社会里。从少女视角看虚假伪善的成人世界，并展现一种微妙复杂的被驯化的过程，是成长电影里的上乘之作。但前半段（直到狗丢失）的节奏不太对。"
"推荐","2018-12-07","11","中国家长的恐怖统治，用愧疚感控制孩子——“你爷腿都坏了，你奶多少年没有出过门了，为了你这条狗” （或者“挣钱多不容易，不要乱花钱，咱家没多少钱，摔门给谁看呢，甩脸色给谁看的”）用愧疚感教育孩子的，都是坏家长，不合格的家长。 “啥谎言？哄哇呢么！”以愚弄的态度对待孩子 有毒的家庭文化环境，和许多错误的观念。 有个问题，原生家庭，大面积的心理挫伤 狗就是中国孩子的隐喻，高兴就买来。不高兴就送到狗肉店 吞下的狗肉是讨好型人格的养成 你没有共鸣，说明你有多幸运。 狗十三，是狗13，是狗B一样的青春。"
"还行","2018-12-04","12","人家是残酷青春电影，这部是矫情青春电影"
"推荐","2018-11-25","12","相信大多数人都会感同身受。身为孩子，被忽视，被敷衍，被支配，就是没人在乎你的选择和感受。"
"推荐","2018-12-05","7","我们都是这样长大的，从一只狗到另外一只狗，从反抗到妥协。"
"还行","2018-12-08","7","这个剧本处处存在生硬的转折，就是为了把预先设计的主题讲出了。每个让人印象深刻的情节都带着计算。商业片一般地营造冲突，去讲这样一个深刻主题，到底显得有点割裂。曹保平是不是一个好导演？我保持怀疑。"
"力荐","2018-11-02","6","谢谢曹保平，谢谢锵锵三人行。"
"还行","2018-11-26","8","把细枝末节再去掉一些，节奏再快一些，就值得四星了。"
"力荐","2018-01-28","8","这是一部野心很大的作品，很多细节，三线城市青春期的所有问题和情绪基本都揉进来了。感谢曹保平，感谢焦华静，感谢白水。长大了的李玩，希望你已经远离了家乡，过得很好。"
"较差","2018-12-10","7","虚高虚高的分，顶多7分给抬到8点多分，且这个镜头和画面布局看得眼睛痛，张雪迎演得跟考试一样，导演根本不会好好说话吧，求别把观众当傻子，观众并不是看不懂你在说什么。"
"推荐","2018-12-09","11","这部电影讲了一个人的社会性是如何逐渐开启的故事，教育是使人力资源变成人力资本的工具，教育本身是为了消除人的多样性，然后变成统一的、标准化的人力资本。而让我们感到难过的是，一方面失去了自身的多样性，另一方面这样的人力资本也没有让我们自己获利。"
"推荐","2018-12-07","6","今年看了两部女孩视角下极为优秀的coming-of-age电影（除了这部还有《八年级》），但考虑到本片成片已是五年前，所以完成度和话题的感染力还要更胜前者。李玩的故事是残酷的：因为青春里每一次看似无害的和解，都是年岁中一次痛苦的刻骨铭心。而正是这样在成长中付出的代价，才会唤醒最起始的恐惧和悲伤。所以真实得让人害怕，甚至不想重温。PS 张雪迎的演出十分动人，只可惜没有电影后续太可惜了--差一点就给关晓彤、杨紫等等提鞋了。。"
"还行","2018-03-08","4","有些很尖锐的地方，但更多是刻意煽情催泪，和不真实。不知道你们家人平时是不是这么说话的，反正我家人不是这么说话的。只有发生冲突的时候那感觉才是对的。更别提那突如其来的奇怪音效和配乐。。。。。扯到政治上那更是瞎扯淡了，讲好一个故事就好了"
"推荐","2018-01-29","9","三星半。视听相对简陋，但是故事和意蕴非常阴暗残忍，有别于甜腻青春片。对中国式教育和爱暴力的一次冷眼审视。无数孩子就在谎言和伪善编织的威权教育中成人，又变成下一个施暴者。当少女成年，其对宇宙的想象，对他人的共情，对物种的爱心，也都死了。"
"还行","2014-06-01","7","射向一个时代的好多支箭，关于男权统治下不同身份的女性地位和女性成长。但却是一个同化和轮回的悲剧。李玩到底有没有被父母辈的思维同化，不得而知，但部分的觉醒还是有的，可以肯定是弟弟身上是一个更大的悲剧。关于继母和父亲之间的关系本质也是男权和女权的问题，但放在这个主题里面却有点格格不入，对中国男性形象和继母形象的刻画很有“代表性”。一些小细节：被抓到精神病院的楼上鹰叫男子，无法适应这个社会规则的人都被视为异类。李玩一直好奇真正的大人，却对科学和物理深感兴趣，父亲车里的两场戏还有两场大型饭桌戏是四场对成人世界的浮世绘，李玩在几场戏中穿梭，她的微笑和失落、妥协和妥协意味着什么，只有等她长大了回头去看，或者去平行宇宙去看，才能看到另一个自己的结局。"
"推荐","2018-11-25","5","长大如果是流几滴泪、吵几句嘴之后的满堂和乐就好了，它却往往是撕扯得血肉模糊的毕生伤痛，教人永远都放不下记恨去原谅、也学不会感恩去予爱。自责又自怜。"
"力荐","2018-11-27","7","前面的争执很不舒服，想想自己的青春期也是那差不多的就理解了。养狗丢狗只是一个引子，为了后面的精彩做铺垫和对比，一个一个局，一个一个场合，慢慢成熟，感受成人世界的无奈，人生和成长，仿佛一次又一次逢场作戏。看小偷家族和四个春天我都哭了，只有狗十三我忍住了没哭，但是感觉更伤心。"
"推荐","2018-11-30","4","真他妈狗13啊。看这电影，像被囚在一个软绵绵的笼子里，发不出声响，所有声响都被人吃掉了。那些爱和理解、乖和懂事，成了最毒的药，蚀得五内俱焚，表皮却一丝伤疤都没有。狗肉摆在李玩面前，我还想敢不敢让她吃下去，结果还真是动了筷子，在此时，那个被成长挟持的世界，连最后半根肋骨也给断碎了。上两代的表演很筋道，尤其是果靖霖，无数次变脸后，突然在车上哭皱了面皮，当真掐灭了成人的最后一豆希冀。唉，要是曹保平没有拍出《烈日灼心》和《追凶者也》，他该是我多么喜爱的导演啊。遗憾的是，姐妹“抢”男人的戏有些废。四星半。"
"较差","2018-12-15","8","太做作了了，导演真的能克制一点吗。微博大v通篇收钱无脑吹。“什么你看不懂，那你是幸福的。”别搞这种绑架， 比如打小孩这个，我们小时候都经历过。很多小事夸张放大，故意做惨。但你们有没有注意到，那个小女孩疯狂找狗的时候，真的就是欠打。打一顿真的就是tmd的不作了，跟她好好说话讲道理听不进去。 5年前的灾难片，现在还拿出来赚钱，难怪很多影院都直接不排片了。 别吹了，中国教育是有问题，片中的这样例子肯定有，但是是极少数。 别以偏概全，大部分没有扭曲到这种程度。"
"推荐","2018-08-13","2","⒈有些病症患上了就难以痊愈，比如我的强迫症和数字控，（7.17→8.13）于是乎就这么拖到13日才观看《狗13》；⒉“这样的事以后还多着呢？”有些成长就是无奈地向世界妥协，以便长大成人后能够更适应这个复杂的社会；⒊墙上艾薇儿<Under My Skin>专辑海报、房间里外放涅槃<Breed>、车上播放姜育恒的《再回首》……"
"较差","2018-12-04","11","怎么说呢，这种说着我都是对你好且总是用谎言“哄”孩子不重承诺双重标准的父母、卖弄诗句的酒局、继母那种女性、甚至防护栏的样式都是很眼熟的。但是我这种不爱看种田文的觉得这部电影实在很无聊。唯一触动我的只有一句“这样的事儿还多着呢”，然而这句话真不像那个男生会说的，那个男色的角色也很不丰满，是纯工具性的。奶奶十几年没出过家门的设定也很强行。还有一个大bug是影片刚开始，女主即将初三，弟弟刚出生。后半女主还没高中，弟弟都能说会走个头甚至足以学滑冰了。此外，《老爸102岁》只是出现了马车都在片头写没有动物在拍摄时受到伤害，而这部出现打狗镜头的电影只是在最后说不赞成虐待狗……"
"还行","2018-12-02","5","我不能客观看待这部片的好坏，我只觉得终于有部片道出了我青春期的强烈痛苦。从丢狗开始痛哭流涕不能自抑。我有极其心爱之物被家人合谋拿走骗我说是我丢了的经历，后来他们买了无数类似的东西想补偿，没有用，我不能原谅他们。而承诺不兑现的情况则更频繁。剧烈的恨意和李玩一样，无处可去就隐藏起来，要伴随一辈子。也许敏感的人就不配活着，但我就是死也不会和你们这些狗逼家长和解的"
"较差","2018-12-22","4","还以为多大事呢，原来只是屁大的事。看来大家都在借他人酒杯，浇自己胸中块垒。不过借的酒杯这般小，可见胸中块垒也不大。——补充几句：最近看的几部电影都跟家庭问题有关，在狗十三里，李玩要去看的天文展上显示的时间是2006年，她13岁，说明她生于1993年。对于我这个70后来说，跟90后的成长经历已经不太能产生共鸣。在我那个年代，父母不会对子女这么惯着：要啥就给啥，生了弟弟不敢跟李玩说，还有父母会向子女道歉，这怎么可能。倒是大象席地而坐里的家庭，更接近于我对家庭的认识，父母会把在社会上，工作上的一切不顺，转嫁到子女身上，父母对子女的谩骂、讽刺、挖苦是常态。所以我给狗十三差评，是真的觉得太小题大做了。"
"很差","2018-12-10","9","太矫情，谁的成长不是伤痕累累，要不怎么承受社会的黑暗。有个疼爱自己的爷爷奶奶，有疼爱自己的爸爸，堂姐。甚至连后妈有了孩子几年才敢带来。已经够幸福了。难不成我们都要长成傻白甜。"
"推荐","2018-11-25","9","瑕疵和《芳华》类似，前半部分分明已经恨不得把一切丑恶和伪善批判得体无完肤，后半段的半和解状态却又把这力量消解在了所谓成长必经之伤痛中，这两种态度是不应该调和的，做成后者如《米花之味》需要很强的尺度把控能力，而走批判到底的路子则需要更大的勇气。但不得不说，父亲家暴女儿一段和《监护风云》中父亲对儿子的暴力戏份，是今年唯二两部完美复刻我自己遭受父亲暴力的经历、唤醒我最直接的感同身受的桥段。"
"力荐","2014-05-01","5","师妹编剧的片子，那一年，我在写《我终于可以不再爱你了》，她在我家沙发上写这个剧本，偶尔聊一下戏，全是回忆。"
"较差","2018-12-05","10","我应该很多年没看一部片子被烦到中途弃场了，拍的也太矫情了吧？当观众是傻子还是什么？有谁会蠢到拿一只新狗说是之前养的，为了戏剧冲突也不能这么瞎扯啊。开头本来还行，后面越编越假，刻意煽情，表演做作，这分数怎么会这么高？！"
"很差","2018-11-05","7","胡辣汤？"
"推荐","2018-11-26","4","说成长也许并不全面，每个人的人生中也许都会面临李玩这种时刻，说到底其实是贾宝玉的困境，当你对这个世界上的一切都充满热情时，周围人都睁眼说瞎话，王夫人坚持宝钗就是黛玉，这里面所有人都坚持爱因斯坦是真的。好像要越过这个阶段只能靠“无情”，但我很惊讶和佩服的是，主创选择的是包容和理解，而非麻木，毕竟所有人都生活在这个困顿的现实之中。"
"较差","2016-07-01","8","曹保平近年产量很高，所以只管拍不带脑子吗？本片跟这几年国产青春片最大的区别，是电视剧跟MTV的区别。剧本的学生气比较重，有年轻的灵气和洞察，也有年轻的短板。比如戏剧处理的分寸欠妥，对剧情的整体把握失控。层次感很差，加上导演极其偷懒，片子冗长拖沓。难得的是，少年文学化的细节。"
"还行","2017-04-13","8","父母任何一方的缺失，都会对孩子的成长造成影响！"
"推荐","2018-01-27","7","长大就是接受成人社会虚伪法则的过程，防护栏中的少女在父权笼罩下认识到这件事，是从心碎到心死的过程，这伤口，撕破了难看，不撕破难受，很残酷，但这就是现实。"
"力荐","2018-04-29","8","这片很好看呀，之前竟然没发现，还是b站看到个up主解说后找出来看的，我觉得这才是我们的青春，应试教育，中国式家长，重男轻女，女主成长了，对这个社会妥协了，也戴着面具活着了，大人真是个沉重而复杂的词，张雪迎挺不错的"
"推荐","2018-11-21","8","原来所谓的懂事，是要逆来顺受的接受成人法则，开始一种表演型人格，成为被塑造出的模版，这片土地上遍地都是这样的果实。不残酷但是残忍，如此成长下去的我们，要经历无数次的抗衡才逐渐把自己的单纯快乐分离出去。曾经的自己就像走失的那只爱因斯坦一样，即使有天在人生中偶遇，也只能假装不认识的阔别。我太想哭了，太难过了。"
"较差","2018-12-11","11","无聊。 改名叫年轻的动物保护主义者成长录 或者 家族亲戚蠢逼实录 再或者叫刻板人物群像 找狗不叫名字叫汪汪？你要是丢了鹦鹉你还能嘤嘤嘤？ 人物细节不够，行为就显得虚假 一场戏里情节量太少，时间还特长，想快进理所当然。 有这样敢作敢当，还能承认错误的爸你还折腾个啥？"
"较差","2018-12-06","8","名字已经说明一切，不敢相信会有这种家庭，衣食无忧，为了一条狗终日郁郁寡欢，生不如死，这么矫情的女孩还是不要活在这个世界为妙~"
"推荐","2017-03-26","4","独特的电影，独特的叙事角度，独特的批判与发泄，欣赏导演的风格，另辟蹊径，特立独行。"
